,eps,n_samples,silhouette_score
0,32,1,0.480281542892534
0,31,1,0.4772212427219967
0,39,1,0.475866011055988
0,30,1,0.4758504529677456
0,38,1,0.47261562337431057
0,33,1,0.4705889218994743
0,37,1,0.46928477040223343
0,29,1,0.4690761375162101
0,43,1,0.4688805258845471
0,36,1,0.4682552673608196
0,40,1,0.46571846313103943
0,41,1,0.46392023979194286
0,35,1,0.4634750152037741
0,28,1,0.4612432893065397
0,34,1,0.4611587915474156
0,42,1,0.4548914485029035
0,27,1,0.4517507976456244
0,26,1,0.4408464695839235
0,87,2,0.4396375166225305
0,25,1,0.4374832091831411
0,87,1,0.43284947588034467
0,24,1,0.4307920032933194
0,23,1,0.4175777181661625
0,44,1,0.41045714031748687
0,45,1,0.4017748837347606
0,22,1,0.40034728256627655
0,20,1,0.3961553215520068
0,21,1,0.39455428279089905
0,43,2,0.3922663024183207
0,46,1,0.390963025957518
0,39,2,0.3837442448299208
0,38,2,0.3830122659513037
0,41,2,0.38202882956114254
0,47,1,0.3816383116317407
0,40,2,0.3793682154248788
0,42,2,0.37525729485788445
0,19,1,0.3727163002585536
0,37,2,0.37217548467833267
0,36,2,0.37042385870652567
0,87,3,0.3692187831768157
0,18,1,0.3687715003654574
0,85,2,0.3683638879479867
0,85,1,0.36555321761315
0,31,2,0.3645050423270505
0,86,2,0.3631645222317893
0,96,2,0.3628256336789549
0,84,2,0.36279679143287186
0,83,2,0.36279679143287186
0,32,2,0.3623748361268302
0,95,2,0.36198562353191677
0,82,2,0.36178416086592935
0,48,1,0.3606223936429272
0,84,1,0.35998496823854054
0,83,1,0.35998496823854054
0,35,2,0.35972060300227426
0,94,2,0.35940269910072986
0,30,2,0.35898758065829495
0,82,1,0.358442813160241
0,86,1,0.358136480478597
0,93,2,0.35776500472417344
0,60,1,0.3577504691315763
0,92,2,0.3561793695644889
0,49,1,0.356163772375378
0,33,2,0.35588378530430353
0,90,2,0.35517786439987975
0,91,2,0.3551100666330318
0,96,1,0.353956636953315
0,95,1,0.35383296491800187
0,34,2,0.3521690814443219
0,94,1,0.35192909072071915
0,17,1,0.3514179155369796
0,29,2,0.35005508136770086
0,93,1,0.34985801091767815
0,90,1,0.3497370217199076
0,92,1,0.34861708910967343
0,91,1,0.3485238944436531
0,51,1,0.34507283653699583
0,59,1,0.34466274976450356
0,57,1,0.3401809028030717
0,50,1,0.33948300284871263
0,89,2,0.33937752850762654
0,28,2,0.3390344437616055
0,44,2,0.3382241759582423
0,43,5,0.33822134534323084
0,56,1,0.33820598072884506
0,52,1,0.3376062176733124
0,88,2,0.33735078580298766
0,55,1,0.33487131578915025
0,53,1,0.3342567057026874
0,89,1,0.33419465688394795
0,16,1,0.3339398475895825
0,88,1,0.3332526380847894
0,45,2,0.33211673984419443
0,42,5,0.328393528075228
0,27,2,0.3274666309660611
0,54,1,0.32697462670153093
0,46,2,0.3226898741852396
0,47,2,0.3160932886751265
0,58,1,0.3157188771855779
0,41,5,0.3148077975188557
0,96,3,0.31281268828347436
0,15,1,0.31262497620639873
0,76,1,0.3119909332438186
0,26,2,0.31052801980385164
0,77,1,0.3092854486654836
0,78,1,0.3092854486654836
0,95,3,0.309214909710761
0,39,5,0.3079642847261749
0,79,1,0.3077125860588607
0,94,3,0.3059905317912066
0,38,5,0.30549273333440335
0,40,5,0.305187742365205
0,79,2,0.30504741035773936
0,60,2,0.30465948916289565
0,93,3,0.30179579592683203
0,92,3,0.3002114531351206
0,25,2,0.29813576363728994
0,37,5,0.2968033270330363
0,76,2,0.29678915743950046
0,61,1,0.2963370787004156
0,91,3,0.2963040870043688
0,14,1,0.29615496504822814
0,81,1,0.2960909810103568
0,81,2,0.295099112520545
0,77,2,0.29408211403495743
0,78,2,0.29408211403495743
0,90,3,0.2936788479726579
0,59,2,0.2915773239449675
0,80,1,0.29134828132990537
0,48,2,0.29005469189096295
0,74,1,0.2900192525328283
0,75,1,0.2894054199381789
0,85,3,0.2892796973454234
0,80,2,0.2886817323497752
0,57,2,0.28784025688884646
0,49,2,0.2878310709302568
0,24,2,0.28709327691215436
0,86,3,0.28678397493776814
0,56,2,0.2839342516188076
0,84,3,0.2833770656349191
0,83,3,0.2833770656349191
0,51,2,0.2828395376663012
0,99,2,0.28282302448782426
0,85,10,0.28250116989621343
0,98,2,0.282097385857704
0,97,2,0.2809475281180595
0,82,3,0.28018609474971945
0,13,1,0.28016512194357807
0,36,5,0.2796296963110609
0,83,10,0.27928281893557044
0,55,2,0.2787114542590175
0,73,1,0.2777517093397268
0,72,1,0.2776940941117622
0,52,2,0.277318866064978
0,84,10,0.2766952956139869
0,63,1,0.2764262679486063
0,53,2,0.2762526329301206
0,50,2,0.2760596303585708
